"","Total_Score","Liked_By_Members","Quality_Of_Life_Score","Family_Score","Community_Score","Cost","Internet","Fun","Humidity_now","Air_Quality_Now","Air_Quality_Annual","Safety","Food_Safety","Lack_Of_Crime","Lack_Of_Racism","Education_Level","Power_Grid","Vulnerability_To_Climate_Change","Income_Level","English_Speaking","People_Density","Walkability","Peace","Traffic_Safety","Hospitals","Happiness","Nightlife","Free_Wifi_In_City","Places_To_Work_From","AC_Or_Heating","Friendly_To_Foreigners","Freedom_Of_Speech","Female_Friendly","LGBTQ_Friendly","Startup_Score","City","Rank","Unliked_By_Members","Temperature_now_celcius","Temperature_now_Farenheight","Temperature_now_Feels_Like_Celcius","Temperature_now_Feels_Like_Farenheight"
"94",3.05,75,"Good","Okay","Okay","2,855 ",27,"Bad",72,57,45,"Great","Great","Great","Bad","High","Great","Okay","1,534 ","Okay",NA,"Great","Good","Okay","Great","Good","Okay","Bad","Great","Okay","Good","Great","Good","Okay","Okay","brno",94,25,8,47,6,43
"95",3.05,67,"Good","Good","Good","5,489 ",29,"Great",76,34,56,"Great","Great","Great","Great","High","Great","Good","3,354 ","Great",6,"Great","Okay","Okay","Great","Bad","Great","Bad","Great","Good","Good","Good","Good","Great","Okay","london",95,33,9,48,7,45
"96",3.04,67,"Good","Okay","Okay","2,791 ",59,"Great",74,37,51,"Good","Good","Okay","Good","High","Great","Good","1,226 ","Okay",NA,"Great","Okay","Okay","Great","Okay","Okay","Okay","Great","Okay","Great","Good","Okay","Bad","Okay","vilnius",96,33,8,46,6,43
"97",3.02,67,"Okay","Okay","Okay","1,301 ",26,"Great",76,NA,NA,"Good","Okay","Good","Bad","High","Good","Good","326 ","Okay",NA,"Bad","Okay","Okay",NA,"Bad","Okay","Okay","Great","Okay","Great","Okay","Bad","Okay","Okay","galle",97,33,30,86,36,97
"98",3.02,67,"Okay","Okay","Good","2,002 ",54,"Bad",63,NA,92,"Good","Good","Good","Bad","Mediocre","Great","Bad","338 ","Bad",NA,"Great","Okay","Okay",NA,"Bad","Good","Okay","Great","Okay","Good","Good","Okay","Okay","Bad","tirana",98,33,20,69,21,70
"99",3.01,63,"Good","Okay","Good","1,525 ",67,"Great",97,NA,NA,"Bad","Great","Very bad","Good","Mediocre","Great","Good","721 ","Bad",NA,"Great","Okay","Bad","Good","Bad","Okay","Bad","Great","Bad","Great","Good","Bad","Great","Bad","florianopolis",99,37,26,78,31,88
"100",3.01,67,"Okay","Okay","Good","2,104 ",35,"Okay",79,50,NA,"Great","Okay","Great","Good","Mediocre","Great","Good","298 ","Bad",NA,"Bad","Okay","Bad",NA,"Okay","Bad","Okay","Great","Okay","Okay","Okay","Good","Okay","Bad","uluwatu",100,33,29,84,34,93
"101",3,80,"Good","Good","Okay","4,834 ",122,"Okay",61,33,18,"Good","Great","Good","Great","High","Great","Great","3,513 ","Great",2,"Great","Good","Okay","Great","Okay","Okay","Great","Great","Okay","Okay","Great","Great","Great","Okay","vancouver",101,20,9,48,7,45
"102",3,67,"Good","Good","Good","6,269 ",135,"Good",78,37,18,"Great","Great","Great","Good","High","Great","Very bad","3,813 ","Great",5,"Great","Good","Okay","Great","Great","Good","Good","Great","Bad","Great","Great","Good","Great","Okay","amsterdam",102,33,9,49,7,45
"103",3,53,"Okay","Okay","Good","2,186 ",43,"Okay",54,48,150,"Good","Good","Good","Bad","High","Great","Okay","304 ","Bad",NA,"Okay","Okay","Okay","Good","Bad","Bad","Okay","Great","Bad","Great","Good","Okay","Bad","Okay","tbilisi",103,47,19,67,20,68
"104",2.96,50,"Good","Good","Good","2,052 ",56,"Good",85,NA,NA,"Great","Great","Great","Okay","Mediocre","Great","Good","1,646 ","Good",NA,"Bad","Good","Okay",NA,"Bad","Okay","Great","Great","Okay","Great","Great","Good","Great","Okay","madeira",104,50,20,67,21,70
"105",2.96,NA,"Good","Good","Okay","1,958 ",42,"Great",93,NA,NA,"Great","Great","Great","Good","Mediocre","Great","Good","1,646 ","Good",NA,"Okay","Good","Okay",NA,"Bad","Okay","Good","Okay","Okay","Great","Great","Great","Great","Okay","azores",105,NA,18,64,18,64
"106",2.96,75,"Good","Okay","Okay","2,681 ",34,"Okay",53,NA,26,"Great","Great","Great","Bad","High","Great","Good","2,225 ","Bad",NA,"Great","Okay","Okay","Great","Bad","Bad","Bad","Great","Okay","Okay","Good","Good","Great","Bad","granada",106,25,21,70,21,70
"107",2.95,75,"Okay","Bad","Okay","1,818 ",15,"Okay",90,102,NA,"Good","Great","Good",NA,"High","Great","Great","642 ","Bad",NA,"Bad","Okay","Bad","Bad","Bad","Bad","Okay","Great","Okay","Okay","Okay","Okay","Bad","Bad","almaty",107,25,9,48,9,48
"108",2.95,57,"Okay","Okay","Good","2,430 ",32,"Great",76,NA,NA,"Okay","Great","Bad","Okay","Mediocre","Great","Great","704 ","Bad",NA,"Great","Bad","Okay",NA,"Bad","Good","Bad","Great","Great","Great","Okay","Okay","Great","Bad","playa-del-carmen",108,43,30,86,36,97
"109",2.95,60,"Good","Okay","Good","2,112 ",69,"Okay",71,112,85,"Great","Good","Great","Good","High","Great","Okay","2,048 ","Bad",15,"Great","Okay","Okay","Great","Good","Okay","Great","Great","Great","Great","Good","Great","Great","Bad","taipei",109,40,29,84,33,91
"110",2.94,67,"Okay","Okay","Okay","1,205 ",48,"Okay",45,NA,63,"Good","Okay","Good",NA,"Low","Great","Bad","106 ","Bad",NA,"Great","Okay","Bad",NA,"Bad","Bad","Bad","Great","Bad","Good","Okay","Bad","Okay","Bad","siem-reap",110,33,37,98,45,113
"111",2.93,67,"Okay","Bad","Okay","1,154 ",40,"Okay",38,53,NA,"Good","Okay","Good",NA,"Low","Great","Bad","106 ","Bad",NA,"Okay","Okay","Bad","Bad","Bad","Bad","Bad","Great","Okay","Good","Okay","Bad","Okay","Bad","phnom-penh",111,33,38,100,43,109
"112",2.92,75,"Good","Okay","Good","5,019 ",109,"Good",68,36,56,"Good","Great","Good","Okay","High","Great","Good","3,069 ","Okay",21,"Great","Okay","Okay","Great","Bad","Great","Okay","Great","Great","Okay","Good","Good","Great","Okay","paris",112,25,12,54,11,52
"113",2.92,53,"Okay","Okay","Good","1,277 ",51,"Good",86,63,124,"Okay","Great","Okay","Okay","Mediocre","Great","Great","504 ","Bad",13,"Great","Okay","Bad","Bad","Bad","Okay","Bad","Great","Bad","Good","Good","Bad","Bad","Bad","lima",113,47,22,72,22,72
"114",2.9,NA,"Good","Good","Good","3,549 ",116,"Great",68,56,25,"Great","Great","Great","Good","Very high","Great","Great","4,506 ","Great",NA,"Great","Good","Okay","Great","Bad","Good","Bad","Great","Great","Good","Good","Great","Great","Good","melbourne",114,NA,17,63,18,64
"115",2.9,67,"Good","Good","Okay","3,921 ",30,"Good",77,NA,32,"Good","Great","Great","Great","High","Great","Good","3,354 ","Great",5,"Great","Okay","Okay","Great","Bad","Good","Okay","Great","Great","Good","Good","Good","Great","Okay","manchester",115,33,8,46,6,43
"116",2.87,67,"Okay","Okay","Okay","2,139 ",54,"Good",47,58,NA,"Good","Good","Good","Bad","High","Great","Okay","304 ","Bad",NA,"Bad","Okay","Okay",NA,"Bad","Okay","Okay",NA,NA,NA,"Good","Okay","Bad","Bad","batumi",116,33,20,67,21,70
"117",2.83,100,"Good","Okay","Okay","5,024 ",35,"Okay",84,NA,12,"Good","Great","Good",NA,"High","Great","Good","3,069 ","Okay",NA,"Bad","Okay","Okay",NA,"Bad","Okay","Okay","Great","Okay","Bad","Good","Okay","Great","Bad","chamonix",117,0,2,36,1,34
"118",2.82,67,"Okay","Okay","Okay","2,450 ",59,"Okay",78,50,53,"Good","Good","Okay","Good","High","Great","Good","1,226 ","Okay",NA,"Great","Okay","Okay","Good","Okay","Okay",NA,"Great","Okay","Okay","Good","Good","Bad","Okay","kaunas",118,33,7,45,5,41
"119",2.8,NA,"Good","Good","Good","3,742 ",162,"Okay",70,62,23,"Great","Great","Great","Good","Very high","Great","Great","4,506 ","Great",2,"Bad","Good","Okay","Good","Bad","Bad","Great","Great","Great","Great","Good","Good","Great","Good","sydney",119,NA,21,70,21,70
"120",2.78,NA,"Good","Good","Okay","2,790 ",76,"Great",83,NA,NA,"Great","Great","Great","Great","Mediocre","Great","Good","1,646 ","Great",NA,"Great","Good","Okay",NA,"Bad","Great","Good","Good",NA,"Great","Great","Great","Great","Okay","peniche",120,NA,18,65,17,63
"121",2.77,NA,"Good","Okay","Okay","2,743 ",126,"Okay",72,NA,61,"Great","Great","Great","Okay","Mediocre","Great","Good","1,646 ","Great",NA,"Great","Good","Okay","Good","Bad","Okay","Okay","Great","Great","Good","Great","Great","Great","Okay","coimbra",121,NA,22,72,22,72
"122",2.77,57,"Good","Okay","Good","3,719 ",65,"Okay",77,34,28,"Great","Great","Great","Bad","High","Great",NA,"3,738 ","Good",5,"Great","Good","Okay",NA,"Good","Good","Great","Great","Okay","Good","Great","Bad","Great","Okay","vienna",122,43,11,51,10,50
"123",2.77,53,"Good","Okay","Okay","1,848 ",5,"Great",86,85,87,"Great","Good","Great","Good","Mediocre","Great","Good","677 ","Bad",13,"Great","Okay","Bad","Great","Okay","Great","Good","Great","Good","Great","Bad","Great","Bad","Okay","shanghai",123,47,20,68,21,70
"124",2.76,NA,"Okay","Okay","Okay","1,893 ",49,"Bad",61,25,24,"Good","Great","Good","Bad","High","Great","Good","787 ","Good",NA,"Great","Good","Okay","Good","Okay","Okay","Okay","Great","Okay","Good","Good","Okay","Bad","Okay","timisoara",124,NA,23,73,23,73
"125",2.76,67,"Good","Okay","Okay","3,507 ",30,"Great",82,35,32,"Good","Great","Good","Okay","High","Great","Good","3,069 ","Okay",2,"Great","Okay","Okay","Great","Bad","Good","Okay","Great","Good","Good","Good","Great","Great","Okay","lille",125,33,8,46,5,41
"126",2.76,67,"Okay","Okay","Okay","2,079 ",14,"Great",74,NA,NA,"Okay","Great","Bad","Good","Mediocre","Great","Great","704 ","Bad",NA,"Great","Bad","Okay",NA,"Bad","Good","Okay","Good","Okay","Great","Okay","Good","Great","Bad","puerto-escondido",126,33,29,84,33,91
"127",2.76,NA,"Okay","Okay","Okay","1,675 ",12,"Great",54,NA,85,"Good","Good","Okay","Bad","Mediocre","Great","Okay","246 ","Good",NA,"Great","Bad","Okay","Good","Bad","Good","Okay","Great","Great","Great","Okay","Bad","Good","Okay","makati",127,NA,32,90,36,97
"128",2.75,67,"Okay","Okay","Okay","3,450 ",21,"Okay",41,NA,NA,"Great","Great","Great","Bad","High","Great","Good","1,436 ","Okay",NA,"Great","Okay","Okay","Good","Okay","Bad","Bad","Great","Good","Good","Good","Okay","Okay","Okay","chania",128,33,22,72,22,72
"129",2.75,NA,"Good","Okay","Okay","1,497 ",62,"Great",86,NA,NA,"Good","Great","Okay","Good","High","Great","Good","1,037 ","Okay",NA,"Great","Okay","Okay",NA,"Bad","Okay","Bad","Okay","Good","Good","Good","Okay","Great","Okay","bariloche",129,NA,15,59,15,59
"130",2.75,NA,"Okay","Okay","Okay","1,185 ",16,"Great",40,55,139,"Good","Great","Good","Bad","Mediocre",NA,"Good","905 ","Bad",NA,"Great","Bad","Okay","Okay","Okay","Good","Bad","Great","Okay","Great","Okay","Bad","Bad","Bad","antalya",130,NA,22,72,22,72
"131",2.75,NA,"Good","Okay","Okay","1,933 ",45,"Great",76,63,59,"Great","Good","Great","Okay","High","Great","Good","2,315 ","Bad",NA,"Great","Okay","Okay","Good","Okay","Okay","Great","Great","Great","Good","Good","Good","Bad","Okay","busan",131,NA,17,63,17,63
"132",2.73,NA,"Good","Okay","Okay","2,639 ",32,"Good",87,52,32,"Great","Great","Great","Bad","High","Great","Good","1,028 ","Good",NA,"Great","Good","Okay","Good","Okay","Good","Great","Great","Bad","Great","Good","Good","Okay","Okay","gdansk",132,NA,8,46,5,41
"133",2.73,NA,"Okay","Okay","Okay","1,104 ",80,"Great",33,105,39,"Good","Okay","Good",NA,"Low","Bad","Bad","60 ","Okay",NA,"Great","Okay","Bad",NA,"Bad","Bad","Good","Bad",NA,NA,"Good","Okay","Okay","Okay","pokhara",133,NA,26,79,26,79
"134",2.72,NA,"Okay","Bad","Okay","1,068 ",115,"Great",26,NA,148,"Good","Good","Good","Okay","Low","Very bad","Good","142 ","Good",NA,"Great","Bad","Bad",NA,"Bad","Okay","Okay","Good","Good","Good","Okay","Bad","Bad","Okay","jodhpur",134,NA,35,96,34,93
"135",2.72,NA,"Okay","Okay","Okay","2,067 ",49,"Great",59,NA,11,"Good","Great","Good","Bad","High","Great","Good","787 ","Okay",NA,"Great","Good","Okay","Bad","Okay","Okay","Okay","Great","Okay","Okay","Good","Okay","Bad","Okay","constanta",135,NA,21,70,21,70
"136",2.71,67,"Okay","Bad","Okay","897 ",16,"Okay",58,51,NA,"Good","Good","Good","Okay","Low","Great",NA,"181 ","Bad",NA,"Great","Okay","Bad",NA,"Bad","Bad","Okay","Bad","Okay","Great","Bad","Okay","Bad","Bad","hue",136,33,31,87,35,95
"137",2.7,60,"Good","Good","Okay","3,847 ",116,"Okay",83,18,43,"Good","Great","Good","Bad","High","Great","Very bad","3,433 ","Good",7,"Great","Good","Okay","Good","Bad","Okay","Good","Great","Great","Bad","Great","Great","Great","Okay","brussels",137,40,8,47,5,41
"138",2.7,50,"Okay","Okay","Okay","1,582 ",19,"Okay",82,53,28,"Okay","Good","Okay",NA,"Low","Good","Good","121 ","Good",9,"Great","Okay","Bad","Okay","Bad","Good","Bad","Great","Okay","Okay","Good","Bad","Okay","Okay","nairobi",138,50,22,71,22,72
"139",2.7,NA,"Good","Okay","Okay","2,282 ",34,"Great",83,NA,31,"Great","Great","Great","Good","High","Great","Bad","3,220 ","Okay",NA,"Great","Good","Okay","Good","Okay","Good","Bad","Great","Great","Great","Good","Great","Good","Okay","naha",139,NA,25,77,25,77
"140",2.69,NA,"Good","Good","Okay","2,594 ",44,"Okay",89,30,55,"Good","Great","Good","Great","High","Great","Good","1,482 ","Good",NA,"Great","Okay","Okay","Good","Okay","Good","Great","Great","Okay","Great","Great","Great","Good","Okay","tallinn",140,NA,4,39,1,34
"141",2.69,NA,"Good","Good","Okay","3,247 ",76,"Okay",73,19,33,"Great","Good","Great","Great","Very high","Great","Good","3,353 ","Great",2,"Great","Good","Okay","Great","Okay","Okay","Bad","Great","Okay","Good","Great","Good","Great","Okay","auckland",141,NA,19,65,19,66
"142",2.69,NA,"Good","Okay","Okay","2,662 ",36,"Good",76,NA,34,"Great","Great","Great","Okay","Mediocre","Great","Good","1,646 ","Good",NA,"Great","Good","Okay","Bad","Bad","Okay","Bad","Great","Okay","Great","Great","Good","Great","Okay","aveiro",142,NA,17,62,17,63
"143",2.69,NA,"Good","Okay","Okay","2,510 ",100,"Great",83,NA,26,"Great","Great","Great","Good","High","Great","Bad","3,220 ","Okay",NA,"Bad","Good","Okay",NA,"Okay","Good","Bad","Great","Great","Great","Good","Great","Good","Okay","okinawa-city",143,NA,25,76,25,77
"144",2.69,43,"Good","Good","Good","4,099 ",130,"Okay",50,33,35,"Good","Great","Good","Great","High","Great","Great","3,513 ","Great",4,"Great","Good","Okay","Great","Okay","Great","Okay","Great","Okay","Good","Great","Okay","Great","Okay","toronto",144,57,12,54,12,54
"145",2.68,NA,"Okay","Okay","Okay","1,206 ",17,"Good",73,152,129,"Great","Okay","Great","Great","Mediocre","Great","Good","298 ","Okay",14,"Great","Okay","Bad","Good","Okay","Okay","Okay","Great","Okay","Okay","Okay","Okay","Bad","Okay","jakarta",145,NA,31,87,38,100
"146",2.68,67,"Okay","Okay","Okay","1,777 ",20,"Good",85,NA,NA,"Okay","Good","Okay","Okay","Mediocre","Great","Great","499 ","Bad",NA,"Great","Okay","Bad",NA,"Bad","Bad","Bad","Bad","Okay","Okay","Good","Bad","Great","Bad","galapagos-islands",146,33,26,79,29,84
"147",2.68,78,"Good","Good","Good","3,949 ",88,"Okay",72,26,30,"Good","Great","Good","Great","High","Great","Great","3,513 ","Okay",2,"Great","Good","Okay","Great","Okay","Good","Okay","Great","Great","Good","Great","Great","Great","Okay","montreal",147,22,13,55,13,55
"148",2.68,NA,"Okay","Okay","Okay","1,427 ",11,"Great",71,NA,52,"Okay","Good","Okay","Bad","Mediocre","Great","Okay","246 ","Good",NA,"Bad","Bad","Okay",NA,"Bad","Okay","Bad","Great","Good","Great","Okay","Okay","Bad","Okay","palawan",148,NA,30,85,35,95
"149",2.68,67,"Okay","Okay","Okay","3,636 ",15,"Great",79,NA,77,"Great","Great","Great","Okay","Mediocre","Great","Good","3,135 ","Okay",NA,"Great","Okay","Okay","Good","Bad","Okay","Good","Great","Great","Good","Okay","Bad","Bad","Okay","abu-dhabi",149,33,26,79,29,84
"150",2.68,NA,"Okay","Okay","Okay","2,068 ",42,"Bad",36,6,14,"Good","Great","Good","Bad","High","Great","Good","787 ","Good",NA,"Great","Good","Okay","Bad","Okay","Bad","Great","Great","Great","Great","Good","Okay","Bad","Okay","ploiesti",150,NA,25,77,25,77
"151",2.67,75,"Good","Good","Okay","4,260 ",32,"Bad",79,32,11,"Great","Great","Great","Good","High","Great","Okay","3,538 ","Okay",NA,"Great","Good","Okay","Great","Bad","Okay","Bad","Great","Great","Good","Great","Great","Great","Okay","dusseldorf",151,25,10,50,8,46
"152",2.67,NA,"Okay","Okay","Okay","1,459 ",40,"Good",80,50,NA,"Great","Okay","Great","Good","Mediocre","Great","Good","298 ","Bad",NA,"Great","Okay","Bad",NA,"Okay","Bad","Okay","Great","Okay","Good","Okay","Good","Okay","Bad","jimbaran",152,NA,28,83,32,90
"153",2.67,NA,"Okay","Okay","Okay","1,222 ",5,"Great",56,55,60,"Great","Good","Great","Good","Mediocre","Great","Good","677 ","Okay",NA,"Bad","Okay","Bad",NA,"Okay","Okay","Great","Bad","Good","Great","Bad","Good","Good","Okay","haikou",153,NA,32,90,37,99
"154",2.67,NA,"Okay","Okay","Okay","1,988 ",295,"Okay",55,29,65,"Bad","Good","Very bad","Okay","Mediocre","Okay","Great","425 ","Great",3,"Great","Bad","Bad","Bad","Bad","Bad","Bad","Great","Okay","Good","Good","Bad","Great","Okay","johannesburg",154,NA,21,69,21,70
"155",2.67,40,"Okay","Okay","Good","3,179 ",82,"Good",45,72,106,"Good","Good","Good","Okay","Mediocre","Great","Bad","452 ","Okay",NA,"Great","Okay","Okay",NA,"Okay","Great","Okay","Great","Great","Good","Good","Bad","Bad","Okay","belgrade",155,60,24,75,24,75
"156",2.66,NA,"Okay","Okay","Okay","2,119 ",35,"Bad",88,39,41,"Great","Great","Great","Bad","High","Great","Good","1,028 ","Good",NA,"Great","Good","Okay","Good","Okay","Okay","Good","Great","Bad","Okay","Good","Good","Okay","Okay","szczecin",156,NA,6,43,3,37
"157",2.66,67,"Good","Okay","Okay","3,392 ",36,"Okay",78,38,33,"Good","Great","Good","Okay","High","Great","Good","3,069 ","Okay",NA,"Great","Okay","Okay","Great","Bad","Bad","Bad","Great","Bad","Good","Good","Good","Great","Okay","nantes",157,33,10,50,8,46
"158",2.66,NA,"Good","Okay","Okay","2,603 ",40,"Great",80,NA,NA,"Great","Great","Great","Bad","High","Great","Good","2,225 ","Okay",NA,"Great","Okay","Okay","Good","Bad","Good","Good","Good","Good","Good","Good","Good","Great","Okay","mallorca",158,NA,18,64,18,64
"159",2.66,NA,"Okay","Okay","Okay","1,315 ",11,"Good",64,NA,71,"Good","Good","Okay","Bad","Mediocre","Great","Okay","246 ","Good",NA,"Great","Bad","Okay",NA,"Bad","Okay","Okay","Great",NA,"Great","Okay","Okay","Bad","Okay","davao",159,NA,30,87,34,93
"160",2.66,NA,"Good","Okay","Good","2,441 ",66,"Okay",69,38,43,"Great","Great","Great","Bad","High","Great","Bad","3,220 ","Bad",6,"Great","Good","Okay","Great","Okay","Okay","Bad","Great","Great","Okay","Good","Okay","Good","Bad","osaka",160,NA,20,69,21,70
"161",2.66,NA,"Good","Okay","Okay","1,422 ",57,"Okay",86,NA,22,"Okay","Great","Okay","Good","High","Great","Good","1,037 ","Okay",NA,"Great","Okay","Okay","Good","Bad","Okay","Okay","Great","Okay","Great","Good","Okay","Great","Okay","cordoba",161,NA,25,77,25,77
"162",2.65,NA,"Okay","Okay","Okay","1,089 ",25,"Bad",66,41,21,"Great","Good","Great","Bad","High","Great","Good","1,013 ","Good",NA,"Great","Good","Okay","Okay","Okay","Bad","Okay","Great","Good","Good","Good","Okay","Okay","Okay","osijek",162,NA,19,66,19,66
"163",2.65,NA,"Okay","Okay","Okay","2,207 ",41,"Bad",44,18,32,"Good","Great","Good","Bad","High","Great","Good","787 ","Good",NA,"Great","Good","Okay","Okay","Okay","Okay","Okay","Great","Bad","Okay","Good","Okay","Bad","Okay","brasov",163,NA,21,71,21,70
"164",2.65,NA,"Okay","Okay","Okay","1,142 ",38,"Bad",30,NA,92,"Good","Good","Good","Okay","Low","Very bad","Good","142 ","Good",NA,"Great","Bad","Bad","Good","Bad","Bad","Bad","Great","Bad","Okay","Okay","Okay","Bad","Okay","bengaluru",164,NA,34,93,34,93
"165",2.65,NA,"Okay","Okay","Okay","1,632 ",16,"Good",80,50,NA,"Great","Okay","Great","Good","Mediocre","Great","Good","298 ","Bad",NA,"Great","Okay","Bad",NA,"Okay","Good","Bad","Great","Okay","Good","Okay","Bad","Bad","Bad","seminyak",165,NA,28,83,32,90
"166",2.65,NA,"Good","Okay","Okay","1,870 ",45,"Great",50,42,78,"Great","Good","Great","Okay","High","Great","Good","2,315 ","Bad",NA,"Great","Okay","Okay","Good","Okay","Bad","Great","Great","Great","Good","Good","Good","Bad","Bad","daegu",166,NA,20,67,21,70
"167",2.64,60,"Good","Okay","Okay","3,579 ",78,"Okay",49,NA,38,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Great","Bad","Bad","Okay","Great","Great","Good","Good","Bad","Great","Okay","indianapolis",167,40,26,78,27,81
"168",2.63,NA,"Good","Good","Okay","3,023 ",38,"Great",61,32,NA,"Good","Great","Good","Good","High","Great","Great","4,224 ","Good",NA,"Great","Good","Okay",NA,"Great","Okay","Good","Great","Bad","Great","Great","Great","Great","Okay","gothenburg",168,NA,7,44,5,41
"169",2.62,NA,"Good","Okay","Okay","3,346 ",54,"Okay",85,53,16,"Great","Good","Good",NA,"High","Great","Great","1,793 ","Great",NA,"Great","Good","Okay","Great","Okay","Good","Okay","Great","Great","Great","Good","Bad","Great","Okay","ljubljana",169,NA,11,52,11,52
"170",2.62,NA,"Okay","Okay","Okay","1,924 ",49,"Good",80,NA,83,"Good","Good","Good","Bad","Mediocre","Great","Okay","807 ","Okay",3,"Great","Good","Okay",NA,"Okay","Okay","Okay","Great","Bad","Good","Good","Okay","Bad","Okay","port-louis",170,NA,26,78,29,84
"171",2.62,NA,"Good","Good","Okay","3,452 ",135,"Okay",85,31,21,"Great","Great","Good","Great","High","Great","Great","3,513 ","Great",2,"Great","Good","Okay","Great","Okay","Bad","Okay","Great","Okay","Great","Great","Great","Great","Okay","ottawa",171,NA,12,53,12,54
"172",2.62,NA,"Okay","Okay","Okay","1,370 ",16,"Good",45,55,60,"Great","Great","Good","Okay","Mediocre",NA,"Good","905 ","Bad",NA,"Great","Bad","Okay","Great","Okay","Okay","Good","Great","Good","Good","Okay","Good","Bad","Bad","adana",172,NA,25,77,25,77
"173",2.62,NA,"Okay","Okay","Okay","1,909 ",49,"Okay",48,32,35,"Good","Great","Good","Bad","High","Great","Good","787 ","Okay",NA,"Great","Good","Okay","Okay","Okay","Okay","Bad","Great","Bad","Okay","Good","Okay","Bad","Okay","iasi",173,NA,25,78,25,77
"174",2.62,NA,"Good","Okay","Okay","2,630 ",36,"Bad",55,36,81,"Great","Great","Great","Okay","Mediocre","Great","Good","1,646 ","Good",NA,"Great","Good","Okay","Good","Bad","Okay","Great","Great","Okay","Great","Great","Good","Great","Okay","braga",174,NA,22,72,22,72
"175",2.62,NA,"Good","Okay","Okay","1,916 ",53,"Bad",76,NA,59,"Great","Great","Great","Okay","Mediocre","Great","Good","1,646 ","Good",NA,"Great","Good","Okay","Bad","Bad","Bad","Okay","Bad","Bad","Okay","Great","Good","Great","Okay","faro",175,NA,20,69,21,70
"176",2.62,NA,"Okay","Bad","Good","1,644 ",49,"Okay",96,NA,97,"Okay","Great","Okay","Bad","Mediocre","Great","Good","337 ","Bad",NA,"Okay","Okay","Bad","Okay","Bad","Okay","Bad","Great","Good","Okay","Good","Okay","Bad","Bad","asuncion",176,NA,31,88,46,115
"177",2.62,NA,"Good","Good","Okay","4,219 ",81,"Great",16,NA,16,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",2,"Great","Bad","Okay","Good","Bad","Great","Great","Good","Great","Great","Good","Bad","Great","Good","las-vegas",177,NA,22,71,22,72
"178",2.61,NA,"Okay","Bad","Okay","1,126 ",15,"Good",32,NA,62,"Good","Good","Good","Bad","Low","Very bad","Good","142 ","Okay",NA,"Great","Bad","Bad","Bad","Bad","Okay","Bad","Great","Bad","Good","Okay","Bad","Bad","Bad","thane",178,NA,39,101,43,109
"179",2.61,NA,"Okay","Okay","Okay","1,538 ",41,"Bad",38,20,12,"Good","Great","Good","Bad","High","Great","Good","787 ","Okay",NA,"Bad","Good","Okay",NA,"Okay","Okay","Okay","Great","Okay","Okay","Good","Okay","Bad","Bad","craiova",179,NA,25,77,25,77
"180",2.61,NA,"Good","Okay","Okay","1,694 ",45,"Okay",61,27,71,"Great","Good","Great","Okay","High","Great","Good","2,315 ","Bad",NA,"Great","Okay","Okay","Great","Okay","Okay","Great","Great","Great","Good","Good","Good","Bad","Bad","daejeon",180,NA,17,62,18,64
"181",2.6,NA,"Good","Good","Okay","3,704 ",57,"Bad",58,56,33,"Great","Great","Great","Good","Very high","Great","Great","4,506 ","Great",NA,"Great","Good","Okay",NA,"Bad","Okay","Bad","Great","Okay","Good","Good","Great","Great","Okay","brisbane",181,NA,26,78,27,81
"182",2.6,NA,"Good","Good","Okay","3,360 ",30,"Great",79,51,36,"Great","Great","Great","Great","High","Great","Good","3,354 ","Great",5,"Great","Okay","Okay","Great","Bad","Good","Okay","Great","Okay","Great","Good","Good","Great","Okay","leicester",182,NA,8,46,6,43
"183",2.6,NA,"Okay","Okay","Okay","1,264 ",16,"Good",41,NA,172,"Good","Good","Good","Bad","Low","Very bad","Good","142 ","Okay",23,"Great","Bad","Bad",NA,"Bad","Bad","Bad","Great","Bad","Good","Okay","Okay","Bad","Okay","surat",183,NA,35,96,38,100
"184",2.6,NA,"Okay","Bad","Okay","959 ",28,"Good",58,NA,NA,"Good","Bad","Good","Okay","Mediocre","Great","Bad","235 ","Bad",16,"Great","Bad","Bad",NA,"Bad","Bad","Bad","Great","Good","Bad","Okay","Okay","Bad","Bad","alexandria",184,NA,23,74,23,73
"185",2.59,NA,"Okay","Okay","Okay","937 ",15,"Good",38,NA,108,"Good","Good","Good","Bad","Low","Very bad","Good","142 ","Good",NA,"Bad","Bad","Bad",NA,"Bad","Okay","Okay","Great","Good","Good","Okay","Okay","Bad","Okay","amritsar",185,NA,31,88,31,88
"186",2.59,NA,"Okay","Okay","Okay","2,105 ",59,"Okay",66,55,52,"Great","Great","Great","Bad","High","Great","Good","1,028 ","Okay",NA,"Great","Good","Okay","Good","Okay","Bad",NA,"Great","Okay","Good","Good","Bad","Bad","Okay","lodz",186,NA,9,49,7,45
"187",2.59,NA,"Okay","Okay","Okay","1,929 ",61,"Great",94,NA,NA,"Okay","Good","Bad","Good","Mediocre","Okay","Good","560 ","Bad",NA,"Great","Okay","Bad","Okay","Bad","Okay","Bad","Great","Okay","Good","Good","Okay","Bad","Bad","santo-domingo",187,NA,29,84,38,100
